date,rank,change,sing_id,subject,singer,rank_out_term,play_in_term,listen_in_term,play_total,listen_total
2019/12/13/15,9,-,89688529,십이월 이십오일의 고백,정승환,1,16932.0,1252.0,4239713,994134
2019/12/13/16,9,-,89688529,십이월 이십오일의 고백,정승환,1,16743.0,1221.0,4256456,995355
2019/12/13/17,9,-,89688529,십이월 이십오일의 고백,정승환,1,17217.0,1307.0,4273673,996662
2019/12/13/18,9,-,89688529,십이월 이십오일의 고백,정승환,1,19910.0,1475.0,4293583,998137
2019/12/13/19,9,-,89688529,십이월 이십오일의 고백,정승환,1,22929.0,1721.0,4316512,999858
2019/12/13/20,9,-,89688529,십이월 이십오일의 고백,정승환,1,18455.0,1436.0,4334967,1001294
2019/12/13/21,9,-,89688529,십이월 이십오일의 고백,정승환,1,15071.0,1114.0,4350038,1002408
2019/12/13/22,9,-,89688529,십이월 이십오일의 고백,정승환,1,12604.0,889.0,4362642,1003297
2019/12/13/23,9,-,89688529,십이월 이십오일의 고백,정승환,1,11568.0,779.0,4374210,1004076
2019/12/14/0,7,2,89688529,십이월 이십오일의 고백,정승환,1,10679.0,831.0,4384889,1004907
2019/12/14/1,7,-,89688529,십이월 이십오일의 고백,정승환,1,8429.0,531.0,4393318,1005438
2019/12/14/2,7,-,89688529,십이월 이십오일의 고백,정승환,1,6817.0,414.0,4400135,1005852
2019/12/14/3,7,-,89688529,십이월 이십오일의 고백,정승환,1,5599.0,254.0,4405734,1006106
2019/12/14/4,7,-,89688529,십이월 이십오일의 고백,정승환,1,4309.0,187.0,4410043,1006293
2019/12/14/5,7,-,89688529,십이월 이십오일의 고백,정승환,1,3807.0,150.0,4413850,1006443
2019/12/14/6,7,-,89688529,십이월 이십오일의 고백,정승환,1,3655.0,172.0,4417505,1006615
2019/12/14/7,9,2,89688529,십이월 이십오일의 고백,정승환,1,4388.0,263.0,4421893,1006878
2019/12/14/8,10,1,89688529,십이월 이십오일의 고백,정승환,1,6250.0,417.0,4428143,1007295
2019/12/14/9,9,1,89688529,십이월 이십오일의 고백,정승환,1,10611.0,845.0,4438754,1008140
2019/12/14/10,9,-,89688529,십이월 이십오일의 고백,정승환,1,12961.0,1076.0,4451715,1009216
2019/12/14/11,9,-,89688529,십이월 이십오일의 고백,정승환,1,15426.0,1312.0,4467141,1010528
