sing_id,subject,singer,앨범 종류,발매일,장르,스타일,기획사,유통사
88253990,하루도 그대를 사랑하지 않은 적이 없었다,임창정,정규,2018.09.19,댄스/팝,발라드,㈜엔에이취이엠쥐,카카오엔터테인먼트
89214000,Another Day,먼데이 키즈 (Monday Kiz) & 펀치 (Punch),OST,2019.07.14,발라드,발라드,냠냠엔터테인먼트,Dreamus
89254457,뭐해 (What are you up to),강다니엘,EP(미니),2019.07.25,댄스/팝,댄스 팝,KONNECT ENTERTAINMENT,Sony Music
89333459,나빠(NAPPA),Crush,싱글,2019.08.28,알앤비/소울,알앤비,피네이션,Dreamus
87470580,가을 안부,먼데이 키즈 (Monday Kiz),싱글,2017.10.14,발라드,발라드,먼데이키즈 컴퍼니,카카오엔터테인먼트
89327736,담아 (Feat. 염따 & pH-1) (Prod. by BOYCOLD),스윙스 & 키드밀리 & 매드클라운,컴필레이션,2019.08.24,랩/힙합,랩,Stone Music Entertainment,지니뮤직
89402168,이상한 사람,존 박,OST,2019.10.03,포크/어쿠스틱,TV 드라마,"㈜팬엔터테인먼트, 모스트콘텐츠",NHN벅스
89647586,Adulthood,강다니엘,싱글,2019.11.25,댄스/팝,댄스 팝,KONNECT ENTERTAINMENT,Sony Music
88978973,대충 입고 나와,우디 (Woody),싱글,2019.05.29,인디,인디 팝,인디안레이블,지니뮤직
88965633,A Whole New World,Mena Massoud & Naomi Scott,OST,2019.05.22,팝,판타지,Walt Disney Records,유니버설뮤직코리아
